ら戳,Θユ计,Θユ肂,秨絃基,程蔼基,程基,Μ絃基,害禴基畉,Θユ掸计
106/07/27,"181,885,480","2,724,431,794",14.9,15.1,14.9,14.95,0.4,"25,412"
106/07/28,"88,488,763","1,302,665,634",14.8,14.85,14.6,14.6,-0.35,"13,326"
106/07/31,"65,944,166","967,586,963",14.65,14.75,14.5,14.75,0.15,"8,985"
106/08/01,"73,425,724","1,079,156,504",14.75,14.9,14.6,14.65,-0.1,"10,445"
106/08/02,"67,022,298","977,493,127",14.65,14.7,14.5,14.55,-0.1,"9,249"
106/08/03,"68,076,507","982,937,721",14.5,14.55,14.35,14.4,-0.15,"11,090"
106/08/04,"89,795,120","1,303,006,863",14.4,14.7,14.3,14.6,0.2,"12,185"
106/08/07,"84,506,945","1,220,024,139",14.45,14.55,14.35,14.35,-0.25,"12,843"
106/08/08,"74,632,542","1,076,801,724",14.4,14.55,14.35,14.35,0,"10,829"
106/08/09,"143,173,237","2,022,109,086",14.35,14.4,13.95,13.95,-0.4,"19,790"
106/08/10,"173,928,385","2,387,329,696",13.9,14.05,13.55,13.6,-0.35,"21,005"
106/08/11,"186,510,625","2,603,257,228",13.65,14.2,13.65,14.15,0.55,"20,028"
106/08/14,"73,378,939","1,020,368,774",14.15,14.15,13.75,13.75,-0.4,"10,730"
106/08/15,"99,038,683","1,388,375,812",14.1,14.15,13.9,14,0.25,"10,982"
106/08/16,"59,876,924","829,212,233",13.75,14,13.7,13.9,-0.1,"10,850"
106/08/17,"91,894,035","1,285,481,340",13.95,14.1,13.8,14.05,0.15,"10,805"
106/08/18,"43,672,104","607,055,464",13.85,13.95,13.85,13.9,-0.15,"7,236"
106/08/21,"50,480,482","710,419,427",13.9,14.15,13.9,14.1,0.2,"7,979"
106/08/22,"121,173,128","1,746,854,164",14.35,14.5,14.25,14.5,0.4,"16,003"
106/08/23,"88,689,212","1,280,225,078",14.6,14.65,14.3,14.3,-0.2,"12,488"
106/08/24,"55,832,017","801,008,434",14.35,14.45,14.3,14.3,0,"9,484"
106/08/25,"41,880,640","603,330,971",14.45,14.5,14.35,14.4,0.1,"6,594"
106/08/28,"64,887,965","944,617,999",14.5,14.65,14.5,14.5,0.1,"9,277"
106/08/29,"44,439,136","639,192,447",14.5,14.5,14.3,14.35,-0.15,"7,176"
106/08/30,"111,430,504","1,621,516,904",14.4,14.7,14.3,14.7,0.35,"13,385"
106/08/31,"128,742,256","1,904,571,645",14.75,14.95,14.65,14.7,0,"17,367"
106/09/01,"67,810,306","987,175,380",14.7,14.75,14.5,14.55,-0.15,"10,782"
106/09/04,"50,472,384","727,473,588",14.5,14.55,14.3,14.35,-0.2,"7,877"
106/09/05,"64,479,108","935,053,935",14.5,14.6,14.4,14.5,0.15,"7,941"
106/09/06,"73,753,653","1,059,406,514",14.4,14.55,14.2,14.25,-0.25,"10,824"
106/09/07,"65,244,250","931,352,513",14.45,14.5,14.1,14.25,0,"9,662"
106/09/08,"92,969,822","1,345,533,259",14.35,14.65,14.3,14.45,0.2,"11,272"
106/09/11,"55,093,516","789,533,602",14.55,14.6,14.2,14.25,-0.2,"9,746"
106/09/12,"48,341,931","690,345,971",14.35,14.4,14.2,14.2,-0.05,"7,335"
106/09/13,"52,493,365","752,527,123",14.25,14.45,14.2,14.35,0.15,"7,219"
106/09/14,"56,733,180","816,967,782",14.4,14.45,14.35,14.4,0.05,"7,093"
106/09/15,"53,790,302","775,412,065",14.45,14.5,14.35,14.45,0.05,"7,371"
106/09/18,"329,930,886","4,951,637,365",14.65,15.4,14.65,15.35,0.9,"40,738"
106/09/19,"201,058,227","3,019,078,063",15.3,15.4,14.8,14.8,-0.55,"26,264"
106/09/20,"122,596,977","1,814,003,472",14.7,14.95,14.6,14.75,-0.05,"17,466"
106/09/21,"83,716,164","1,240,748,573",14.8,14.9,14.7,14.85,0.1,"9,474"
106/09/22,"78,659,784","1,152,060,264",14.9,14.9,14.5,14.55,-0.3,"10,726"
106/09/25,"54,192,798","781,773,412",14.6,14.65,14.3,14.3,-0.25,"9,185"
106/09/26,"67,080,313","952,799,232",14.35,14.45,14,14.05,-0.25,"10,004"
106/09/27,"51,777,816","734,228,360",14.15,14.3,14.1,14.1,0.05,"7,499"
106/09/28,"69,235,534","979,050,367",14.25,14.3,14,14.05,-0.05,"9,346"
106/09/29,"73,243,709","1,030,509,658",14.1,14.2,13.9,14.15,0.1,"9,506"
106/09/30,"19,456,525","275,985,539",14.2,14.25,14.15,14.15,0,"3,986"
106/10/02,"51,531,634","736,051,654",14.2,14.35,14.2,14.3,0.15,"6,679"
106/10/03,"49,332,800","701,619,685",14.35,14.4,14.15,14.15,-0.15,"7,019"
106/10/05,"53,427,848","763,393,003",14.25,14.4,14.2,14.25,0.1,"7,155"
106/10/06,"39,484,029","561,661,477",14.3,14.35,14.15,14.25,0,"5,912"
106/10/11,"127,571,536","1,773,745,104",13.7,14.05,13.7,14.05,-0.2,"15,607"
106/10/12,"57,277,692","798,727,765",14.05,14.05,13.9,13.9,-0.15,"9,429"
106/10/13,"63,146,604","886,196,868",13.95,14.15,13.95,13.95,0.05,"8,876"
106/10/16,"56,071,624","784,991,936",14,14.1,13.95,14,0.05,"9,023"
106/10/17,"46,382,356","646,407,632",14.05,14.1,13.85,13.9,-0.1,"7,389"
106/10/18,"58,415,769","809,615,381",13.95,14,13.8,13.8,-0.1,"8,390"
106/10/19,"68,481,099","957,960,536",13.85,14.1,13.8,14,0.2,"8,618"
106/10/20,"59,063,739","829,531,746",14,14.1,13.9,14.1,0.1,"6,366"
106/10/23,"45,165,662","632,768,497",14.1,14.15,13.9,13.9,-0.2,"7,180"
106/10/24,"76,155,702","1,047,028,082",13.8,13.85,13.7,13.7,-0.2,"12,956"
106/10/25,"55,856,607","769,314,594",13.75,13.9,13.7,13.75,0.05,"9,306"
106/10/26,"87,640,614","1,207,733,867",13.8,13.9,13.7,13.7,-0.05,"10,633"
106/10/27,"96,642,394","1,311,458,147",13.7,13.75,13.5,13.5,-0.2,"15,014"
106/10/30,"49,988,225","676,355,557",13.6,13.65,13.45,13.5,0,"9,156"
106/10/31,"107,406,276","1,427,907,938",13.45,13.45,13.2,13.2,-0.3,"15,295"
106/11/01,"101,457,248","1,345,266,798",13.2,13.4,13.1,13.3,0.1,"13,478"
106/11/02,"81,098,606","1,068,527,150",13.25,13.4,13.05,13.05,-0.25,"12,581"
106/11/03,"59,381,866","778,897,592",13.1,13.2,13,13.15,0.1,"8,437"
106/11/06,"46,591,056","611,896,239",13.2,13.2,13.05,13.15,0,"6,209"
106/11/07,"58,092,581","758,181,429",13.1,13.15,13,13.05,-0.1,"8,914"
106/11/08,"78,058,224","1,007,461,394",13,13.05,12.85,12.85,-0.2,"12,907"
106/11/09,"100,467,539","1,296,146,003",12.85,13.1,12.75,12.9,0.05,"13,982"
106/11/10,"42,313,401","542,009,905",12.85,12.9,12.75,12.8,-0.1,"6,928"
106/11/13,"40,918,814","526,551,715",12.8,12.95,12.75,12.85,0.05,"6,662"
106/11/14,"71,734,280","935,916,590",12.85,13.15,12.85,13,0.15,"9,395"
106/11/15,"61,031,582","804,756,363",13.15,13.25,13.1,13.15,0.15,"11,105"
106/11/16,"93,181,317","1,238,735,924",13.2,13.4,13.15,13.3,0.15,"12,311"
106/11/17,"67,644,589","897,353,745",13.4,13.45,13.15,13.2,-0.1,"8,739"
106/11/20,"34,446,030","456,466,709",13.25,13.35,13.2,13.2,0,"5,392"
106/11/21,"39,181,686","520,918,547",13.25,13.35,13.25,13.3,0.1,"5,932"
106/11/22,"164,264,601","2,231,550,853",13.4,13.75,13.35,13.6,0.3,"21,258"
106/11/23,"48,236,037","653,951,074",13.65,13.7,13.45,13.55,-0.05,"6,853"
106/11/24,"91,131,607","1,242,609,925",13.5,13.75,13.5,13.55,0,"9,881"
106/11/27,"71,024,670","951,550,255",13.55,13.65,13.2,13.25,-0.3,"9,350"
106/11/28,"64,772,265","863,083,268",13.25,13.45,13.2,13.4,0.15,"7,364"
106/11/29,"77,325,989","1,043,077,277",13.45,13.6,13.35,13.4,0,"11,038"
106/11/30,"99,282,994","1,304,787,995",13.3,13.3,13.05,13.1,-0.3,"10,687"
106/12/01,"52,778,439","685,245,195",13.1,13.15,12.9,12.95,-0.15,"7,742"
106/12/04,"42,371,344","551,302,222",12.95,13.15,12.85,13,0.05,"6,451"
106/12/05,"45,652,264","596,134,215",12.95,13.15,12.95,13.1,0.1,"6,220"
106/12/06,"72,141,664","943,232,932",13.15,13.25,12.9,12.95,-0.15,"10,399"
106/12/07,"137,986,154","1,754,480,719",12.8,12.9,12.5,12.55,-0.4,"17,891"
106/12/08,"103,198,136","1,275,889,614",12.55,12.6,12.25,12.3,-0.25,"14,562"
106/12/11,"46,262,967","583,959,493",12.5,12.7,12.4,12.7,0.4,"7,696"
106/12/12,"35,127,507","441,548,137",12.7,12.7,12.5,12.5,-0.2,"6,437"
106/12/13,"39,468,782","493,149,577",12.5,12.55,12.4,12.55,0.05,"5,755"
106/12/14,"46,561,291","583,404,315",12.55,12.65,12.45,12.5,-0.05,"7,061"
106/12/15,"44,315,738","549,747,053",12.5,12.5,12.3,12.45,-0.05,"6,479"
106/12/18,"22,678,859","282,382,465",12.5,12.5,12.4,12.45,0,"4,086"
106/12/19,"38,808,504","479,556,518",12.45,12.5,12.3,12.3,-0.15,"6,705"
106/12/20,"42,778,422","529,503,775",12.3,12.5,12.25,12.35,0.05,"7,291"
106/12/21,"23,654,806","293,709,020",12.4,12.45,12.35,12.45,0.1,"3,732"
106/12/22,"21,517,403","269,116,867",12.5,12.55,12.45,12.5,0.05,"4,142"
106/12/25,"17,126,959","214,753,016",12.55,12.6,12.5,12.5,0,"3,132"
106/12/26,"21,282,379","264,889,731",12.5,12.6,12.35,12.4,-0.1,"3,402"
106/12/27,"18,222,171","226,171,342",12.45,12.45,12.35,12.4,0,"2,739"
106/12/28,"44,166,894","554,752,803",12.45,12.65,12.45,12.5,0.1,"6,206"
106/12/29,"36,442,347","453,425,675",12.55,12.55,12.35,12.4,-0.1,"5,498"
